Sex,Reading,Writing,Math
Female,46.9,35.9,41.9
Female,49.5,46.3,46.2
Female,62.7,64.5,48
Female,46.9,41.1,45.3
Female,44.2,41.1,59.8
Female,46.9,40.4,42.8
Female,41.6,41.1,45.9
Female,38.9,48.9,41.8
Female,57.4,54.1,58.9
Female,73.3,64.5,68
Female,46.9,46.3,45.9
Female,48.4,48.9,52.2
Female,34.2,46.3,44.5
Female,37.3,43.7,45.4
Female,44.2,33.3,37.7
Female,70.7,58,65.4
Female,41.6,33.3,37.6
Female,41.6,35.9,36.7
Female,46.9,41.1,53.6
Female,52.1,54.1,48.2
Female,52.1,54.1,52
Female,38.9,38.5,44.4
Female,60.1,54.1,48.6
Female,46.9,31.3,43.6
Female,38.9,28.1,36
Female,41.6,48.9,33.7
Female,36.3,41.1,43.5
Female,49.5,33.3,48.7
Female,54.8,54.7,56.9
Female,41.6,41.7,45.1
Female,60.1,51.5,56.8
Female,36.3,36.5,35.1
Female,44.2,44.3,61.1
Female,41.6,38.5,38.7
Female,41.6,43.7,51.1
Female,41.6,25.5,44.3
Female,46.9,61.9,46.2
Female,52.1,61.9,66.3
Female,52.1,54.1,58.1
Female,62.7,64.5,66.3
Female,46.9,44.3,48.7
Female,65.4,56.7,55.2
Female,53.2,60.6,61.2
Female,52.1,51.5,57.9
Female,65.4,67.1,75.5
Female,52.1,43.7,49.4
Female,62.7,67.1,69.6
Female,57.4,43.7,57.8
Female,73.3,64.5,75.5
Female,52.1,54.1,51.4
Female,44.2,48.9,43.1
Female,65.4,59.3,62.3
Female,38.9,41.1,40.3
Female,62.7,52.1,66.1
Female,44.7,56.7,50.3
Female,53.2,46.3,43
Female,30.5,35.9,36.9
Female,41.6,41.1,42.8
Female,49.5,39.8,44.5
Female,68,59.3,56.6
Female,53.7,43.7,51.1
Female,38.9,28.1,35.3
Female,38.9,51.5,38.6
Female,54.8,36.5,37.7
Female,36.3,30.7,44.8
Female,36.3,38.5,39.3
Female,57.4,54.7,51.7
Female,52.1,52.8,37.6
Female,49.5,39.8,38.6
Female,44.7,33.3,33.7
Female,49.5,59.3,42.1
Female,55.3,46.9,49.1
Female,36.3,46.3,36.9
Female,54.8,56.7,64.7
Female,33.6,36.5,45.7
Female,36.3,44.3,34.4
Female,62.7,64.5,71.3
Female,46.9,30.7,40.3
Female,54.8,45,45.9
Female,54.8,46.3,45.5
Female,54.8,41.1,40.2
Female,68,61.9,69.7
Female,71.2,63.2,60.2
Female,57.4,64.5,51.1
Female,70.7,56,62
Male,65.4,64.5,48
Male,62.7,61.9,67
Male,54.8,56.7,63.8
Male,41.6,46.3,59.6
Male,60.1,51.5,48.1
Male,36.8,36.5,41.5
Male,52.1,64.5,60.6
Male,73.3,67.1,71.3
Male,57.4,51.5,40.6
Male,57.4,51.5,55.3
Male,44.2,43.7,56.4
Male,46.9,54.1,54.6
Male,60.1,46.3,51.4
Male,60.6,56.7,70.5
Male,46.9,51.5,50.6
Male,52.1,54.1,54.6
Male,73.3,61.9,60.5
Male,52.1,59.3,59.6
Male,65.4,61.9,67.9
Male,62.7,54.1,54.8
Male,62.7,43,58.9
Male,68,61.9,52.2
Male,62.2,56.7,51.9
Male,65.4,59.3,56.8
Male,62.7,56.7,54.3
Male,60.1,51.5,53
Male,54.8,38.5,57
Male,44.2,46.9,45.5
Male,44.2,33.3,53.9
Male,38.9,38.5,53
Male,54.8,59.3,49.5
Male,54.8,64.5,58.6
Male,57.4,56.7,62.8
Male,44.2,33.3,40.9
Male,44.2,38.5,41.4
Male,52.1,46.3,48.3
Male,49.5,52.8,50.6
Male,54.8,48.9,61.2
Male,44.2,48.9,56.3
Male,73.3,59.9,70.5
Male,65.4,48.9,66.3
Male,49.5,48.9,50.4
Male,60.1,54.1,58
Male,57.4,43.7,59.6
Male,60.1,57.3,58.8
Male,73.3,64.5,64
Male,60.1,59.3,57.9
Male,52.1,41.1,50.6
Male,76,52.1,64.1
Male,46.9,33.3,50.4
Male,54.3,62.5,56.6
Male,46.9,52.8,49.3
Male,49.5,35.9,47.8
Male,46.9,38.5,47.1
Male,60.1,41.7,52
Male,44.2,39.1,46.3
Male,33.6,33.3,41
Male,33.6,38.5,42.9
Male,45.8,41.7,43.1
Male,52.1,44.3,53.1
Male,44.2,30.7,35.3
Male,44.2,33.3,47.8
Male,33.6,43.7,42.6
Male,41.6,39.1,56.3
Male,44.2,51.5,51.1
Male,70.7,56.7,51.3
Male,68,64.5,61.5
Male,41.6,48.9,42.6
Male,52.1,41.1,51.3
Male,33.6,48.9,38.6
Male,46.9,35.9,42.6
Male,38.9,41.1,43.6
Male,49.5,56.7,62.8
Male,54.8,64.5,51.1
Male,38.9,41.7,37.7
Male,68,59.3,55.7
Male,38.9,35.9,44.2
Male,44.2,41.1,50.5
Male,52.1,61.9,59.6
Male,49.5,61.9,50.9
Male,36.3,43.7,44.3
Male,41.6,30.7,56.9
Male,68,54.1,63
Male,62.7,59.3,56.5
Male,38.9,33.3,37.7
Male,44.2,38.5,41.2
Male,45.8,34.6,37.9
Male,44.2,41.1,51.8
Male,73.3,61.9,73.1
Male,49.5,30.7,40.3
Male,44.2,43.7,38.6
Male,60.1,52.8,51.5
Male,65.4,59.3,69.6
Male,52.1,59.9,49.5
Male,62.7,63.2,68.9
Male,44.2,48.9,48
Male,44.2,41.1,40.3
Male,54.8,51.5,42.8
Male,44.7,54.1,50.4
Male,62.7,43.7,47.1
Male,68,64.5,70.6
Male,54.8,56.7,56.9
Male,62.7,63.2,74.6
Male,60.1,48.9,50.4
Male,60.1,64.5,57.9
Male,44.2,54.1,51.4
Male,54.8,61.9,63.6
Male,36.3,28.1,53.7
Male,41.6,46.9,55.5
Male,65.4,51.5,61.2
Male,62.7,48.9,48.8
Male,60.1,61.9,74.6
Male,40.5,38.5,47.1
Male,41.6,41.1,57.2
Male,62.7,48.9,42.1
